 Year,Aviation,Shipping,Medium- and heavy trucks,Light-commercial vehicles,Buses and minibuses,Passenger cars,Two/three-wheelers,Rail
2053,0.679861529,0.414681279,1.091951841,0.026594731,0.185050849,0.379621386,1.28E-13,0.061686354
2054,0.663827785,0.400580211,1.038116719,0.022801589,0.172305533,0.339254586,1.24E-13,0.058926616
2055,0.64779404,0.386479143,0.984281596,0.019008448,0.159560218,0.298887787,1.19E-13,0.056166879
2056,0.628482304,0.375944913,0.911899011,0.017032479,0.147996492,0.268523215,1.13E-13,0.052530966
2057,0.609170569,0.365410683,0.839516425,0.015056511,0.136432765,0.238158644,1.06E-13,0.048895054
2058,0.589858833,0.354876453,0.76713384,0.013080542,0.124869039,0.207794072,9.92E-14,0.045259142
2059,0.570547097,0.344342223,0.694751254,0.011104574,0.113305312,0.177429501,9.25E-14,0.041623229
2060,0.551235361,0.333807993,0.622368669,0.009128605,0.101741586,0.147064929,8.58E-14,0.037987317
2061,0.539180631,0.325229991,0.575834404,0.008263498,0.092738295,0.128837156,7.85E-14,0.034972121
2062,0.527125901,0.316651989,0.529300139,0.00739839,0.083735005,0.110609382,7.12E-14,0.031956925
2063,0.515071171,0.308073987,0.482765873,0.006533283,0.074731714,0.092381609,6.39E-14,0.02894173
2064,0.503016441,0.299495986,0.436231608,0.005668175,0.065728423,0.074153835,5.66E-14,0.025926534
2065,0.490961711,0.290917984,0.389697343,0.004803068,0.056725133,0.055926061,4.93E-14,0.022911338
2066,0.481084983,0.283756474,0.357567881,0.004321117,0.050512633,0.046465155,4.16E-14,0.020406712
2067,0.471208255,0.276594964,0.325438418,0.003839167,0.044300134,0.037004249,3.39E-14,0.017902087
2068,0.461331528,0.269433453,0.293308955,0.003357217,0.038087635,0.027543342,2.62E-14,0.015397461
2069,0.4514548,0.262271943,0.261179493,0.002875266,0.031875135,0.018082436,1.85E-14,0.012892835
2070,0.441578072,0.255110433,0.22905003,0.002393316,0.025662636,0.008621529,1.09E-14,0.010388209
